FileConf	FileName.x	TotalReads	Configuration.x	FwdRev	OTUID	variable	value	FileName.y	Configuration.y	Normalized	Isolate
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Ec5004	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR5327338	trim50_synthetic16S	0.025	SRR5327338
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Ec5005	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR5327338	trim50_synthetic16S	0	SRR5327338
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Ec5501	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR5327338	trim50_synthetic16S	0	SRR5327338
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Ec5502	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR5327338	trim50_synthetic16S	0	SRR5327338
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Ec6001	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR5327338	trim50_synthetic16S	0	SRR5327338
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Ga5501	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR5327338	trim50_synthetic16S	0	SRR5327338
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Tb5501	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR5327338	trim50_synthetic16S	0	SRR5327338
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Bv5501	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR6485762_1	trim50_synthetic16S	0	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Ca5501	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	11	SRR6485762_1	trim50_synthetic16S	0.733333333333333	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Ec5001	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	2	SRR6485762_1	trim50_synthetic16S	0.133333333333333	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Ec5002	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR6485762_1	trim50_synthetic16S	0	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Ec5003	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR6485762_1	trim50_synthetic16S	0	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Ec5004	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR6485762_1	trim50_synthetic16S	0	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Ec5005	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR6485762_1	trim50_synthetic16S	0	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Ec5501	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR6485762_1	trim50_synthetic16S	0	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Ec5502	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR6485762_1	trim50_synthetic16S	0.0666666666666667	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Ec6001	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR6485762_1	trim50_synthetic16S	0	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Ga5501	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	21	SRR6485762_1	trim50_synthetic16S	1.4	SRR6485762
SRR6485762_1_trim50_synthetic16S	SRR6485762_1	1591762	trim50_synthetic16S	foward	Tb5501	SRR6485762_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR6485762_1	trim50_synthetic16S	0.0666666666666667	SRR6485762
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Bv5501	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	377	SRR8060827_1	trim50_synthetic16S	37.7	SRR8060827
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Ca5501	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR8060827_1	trim50_synthetic16S	0	SRR8060827
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Ec5001	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR8060827_1	trim50_synthetic16S	0	SRR8060827
